Episode,Actor_Loss,Critic_Loss,Win_Rate
5000,8.958150812719872e-05,9.939568253289706e-05,0.8392
10000,-0.00014094493017479263,8.679183820672536e-05,0.8428
15000,5.20333672123266e-05,0.00010131807175639551,0.8308
20000,-0.00015967480784559527,7.70998881109889e-05,0.8498
25000,-0.00012022590605896689,7.546612877100098e-05,0.832
30000,-4.7465221307163574e-05,8.304180770816554e-05,0.8452
35000,-7.077372934556636e-05,8.642324167379664e-05,0.8394
40000,-0.0001845454666361472,8.379387206029303e-05,0.8398
45000,-9.629699027003804e-05,8.436068262950437e-05,0.8404
50000,-4.839604749260737e-06,8.20179920992814e-05,0.8258
55000,-3.330973297958432e-05,8.111479079767984e-05,0.8348
60000,-0.00015520575400931034,8.853058914056696e-05,0.8378
65000,-3.734607476341503e-05,9.131875549428514e-05,0.834
70000,-1.5748184250696805e-05,7.885050613169923e-05,0.8314
75000,-0.0001437498719231674,7.735877746502713e-05,0.8386
80000,-5.4500195204562485e-05,7.617536428607191e-05,0.8342
85000,-6.45469037882994e-05,8.406928796118692e-05,0.839
90000,-0.00013953470342282045,9.802471762062244e-05,0.8358
95000,-7.547088607680048e-05,0.0001287352147894284,0.8284
100000,-4.009319260755239e-05,0.00011319754806512113,0.8278
105000,-0.0001479108683250397,0.00011491687347069788,0.8296
110000,-0.00019733361017083929,9.590266896945347e-05,0.8426
115000,-8.801185867528343e-05,8.284872772334063e-05,0.8418
120000,-7.266793215639687e-06,7.32537603956492e-05,0.8296
125000,-0.0001227126066584353,7.186128072055948e-05,0.8412
130000,-4.870281003756342e-05,7.367300743984136e-05,0.8298
135000,-0.00010755431834740111,7.676497862912188e-05,0.8338
140000,-0.00011463231998989254,7.709725674510042e-05,0.8508
145000,-2.0951762231410002e-05,7.87096687417943e-05,0.8304
150000,-4.5600374899194036e-05,8.038234021944885e-05,0.8428
155000,-0.0001471509945275784,8.516276314670297e-05,0.831
160000,-6.171445030976545e-05,7.907711314265211e-05,0.8316
165000,-4.373151437586939e-05,8.246693671579756e-05,0.8398
170000,-0.00011135664696399297,7.777847577017383e-05,0.8402
175000,-6.805750077625777e-05,7.59570608826597e-05,0.8362
180000,-9.343100768012884e-05,7.88101416496236e-05,0.8258
185000,-2.799047061140904e-05,7.868580481347938e-05,0.8336
190000,-0.00011888046037513603,8.805897184926005e-05,0.8396
195000,-0.00018978363841218508,0.00010027733848498126,0.8316
200000,-8.530120149059613e-05,0.00012086977696289186,0.8376
205000,-1.4394965487356542e-06,9.79301580430373e-05,0.8308
210000,-0.0001159444283719798,8.854198237410553e-05,0.8458
215000,-0.00011250948709808335,8.360860279619531e-05,0.8336
220000,-0.00015930659249573616,8.272935440839754e-05,0.832
225000,-6.223814896960294e-05,8.088866040149394e-05,0.832
230000,-1.0101109514044252e-05,7.950358042802216e-05,0.8258
235000,-0.00010120129452586653,7.952564951467693e-05,0.8354
240000,-8.039286384378857e-05,7.876420750108082e-05,0.8276
245000,-3.041468690338185e-05,7.528077485799061e-05,0.8284
250000,-0.00010015482989350251,8.162467550694903e-05,0.836
255000,-0.0001233573784771658,8.889449710967828e-05,0.8356
260000,-4.9386375621907043e-05,9.878274574040678e-05,0.8282
265000,-0.00018512594251186937,0.00011222011380596086,0.833
270000,-7.696511994036766e-05,9.063898735052055e-05,0.8388
275000,-7.821215626790969e-06,8.104241563463195e-05,0.8478
280000,-7.95665046572812e-05,8.684428346738139e-05,0.8296
285000,-0.00010287194002202066,9.677524386738104e-05,0.8394
290000,-0.0001417866491844203,8.377236478433285e-05,0.8346
295000,-0.00010679993017971436,8.051790475450537e-05,0.8426
300000,-2.664053602816436e-05,8.225276368371534e-05,0.8358
305000,-4.60061209082596e-05,7.865222535959522e-05,0.8402
310000,-6.827603770040509e-05,8.129901233706218e-05,0.8344
315000,-0.00010898708337352406,8.386354344717499e-05,0.836
320000,-0.00011748014392888642,8.253537041879179e-05,0.8316
325000,-0.00010192943137098447,7.747406008369897e-05,0.839
330000,-7.2196684879344275e-06,7.410118481251023e-05,0.8354
335000,-0.00010879203166792731,7.846361119806281e-05,0.837
340000,-3.32322031434397e-05,7.985008762815319e-05,0.834
345000,-0.00011910925942864029,8.687906696043986e-05,0.8278
350000,-7.148147952331941e-05,8.149735035460807e-05,0.832
355000,-6.03470202021672e-05,8.383031308767386e-05,0.8332
360000,-9.412839227513999e-05,8.04990323440111e-05,0.8236
