Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward
5000,-0.22748662752133827,4.8978977468278675,0.4104,10.013
10000,-0.31567324157114385,4.862210344385217,0.398,10.0456
15000,-0.48157933396952496,4.816726897444044,0.3942,10.191
20000,-0.6127113240736504,4.726077362343117,0.4058,10.34
25000,-0.6642538707171166,4.358616658619472,0.3868,10.3244
30000,-0.6562988104643644,3.9418917541150695,0.4076,10.3678
35000,-0.5756269346784663,3.3981592699333474,0.4068,10.4328
40000,-0.4516031666525772,2.819700147424425,0.4002,10.4406
45000,-0.3009062381254302,2.6191282360642045,0.415,10.584
50000,-0.18261556832918102,2.5867166944912503,0.3918,10.5636
55000,-0.11231301035042163,2.602174900196217,0.375,10.5434
60000,-0.09252356263542816,2.5580252962453023,0.3686,10.5456
65000,-0.07208883366493629,2.555058165832802,0.352,10.5418
70000,-0.07146863379914845,2.5524388253688812,0.357,10.5786
75000,-0.045148888322052834,2.538294847522463,0.3472,10.5146
80000,-0.04209496846145798,2.554923839039273,0.3476,10.609
85000,-0.021363944988323575,2.529981110777174,0.3368,10.5886
90000,-0.019085542844394305,2.46479799917766,0.3248,10.5412
95000,-0.0028907423651876986,2.449279099702835,0.33,10.5754
100000,0.005783885704230281,2.4192455112934113,0.3256,10.5184
105000,0.02226309101789801,2.4182311509336745,0.3196,10.5908
110000,0.03414517529521877,2.3923087460654124,0.3236,10.5542
115000,0.04742034026421607,2.418463940973635,0.3236,10.5762
120000,0.0561488860606817,2.465630420616695,0.3188,10.5604
125000,0.07965873660577927,2.489662515265601,0.3164,10.5632
130000,0.07977449828841987,2.510460372482027,0.3034,10.5752
135000,0.0873973792655826,2.510782148156847,0.308,10.58
140000,0.09278673146784835,2.561931776148932,0.3014,10.628
145000,0.10145618954224378,2.638271932091032,0.3036,10.6936
150000,0.11541093968387162,2.5911300906113217,0.3226,10.6352
155000,0.10695149871254606,2.5871889208044325,0.301,10.6324
160000,0.1111629864645861,2.707013761555707,0.3044,10.7158
165000,0.11962941126569472,2.632796938930239,0.3032,10.7354
170000,0.1361811737667137,2.770055511168071,0.314,10.7918
175000,0.14020785544333714,2.7927399618285045,0.308,10.733
180000,0.14908310428810573,2.87187517115048,0.3162,10.8238
185000,0.137227809282818,2.8556181362697055,0.3164,10.8316
190000,0.16307836870352424,2.9115405965734413,0.342,10.7976
195000,0.15756591293694716,2.935736392225538,0.3286,10.8906
200000,0.16090909797432165,3.0168063129697527,0.3398,10.9444
