Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
5000,-0.05562043645867595,0.060114665770972214,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
10000,-0.05372792838141322,0.059219987224787475,0.37,0.37,0.37,0.37,0.37,0.37,0.37
15000,-0.04708722518490894,0.0521090683926429,0.3454,0.34540000000000004,0.3454,0.3454,0.3454,0.3454,0.3454
20000,-0.04904500685898321,0.05422041635694248,0.3716,0.37160000000000004,0.3716,0.3716,0.3716,0.3716,0.3716
25000,-0.04468670156917403,0.050432380355362384,0.3632,0.3632,0.3632,0.3632,0.3632,0.3632,0.3632
30000,-0.04367959023487789,0.049535316242663954,0.3758,0.3758,0.3758,0.3758,0.3758,0.3758,0.3758
35000,-0.03793805816609945,0.04450936654050435,0.359,0.359,0.359,0.359,0.359,0.359,0.359
40000,-0.037329723906836344,0.04323842502864343,0.3664,0.3664,0.3664,0.3664,0.3664,0.3664,0.3664
45000,-0.036036408395905585,0.04205637704581022,0.3814,0.3814,0.3814,0.3814,0.3814,0.3814,0.3814
50000,-0.03243666407785245,0.03845920203519719,0.3708,0.3708,0.3708,0.3708,0.3708,0.3708,0.3708
55000,-0.030946621769773107,0.036487090860360435,0.3794,0.3794,0.3794,0.3794,0.3794,0.3794,0.3794
60000,-0.028729041279466065,0.03409263076329672,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802
65000,-0.02690284455062023,0.03233327209018171,0.3888,0.3888,0.3888,0.3888,0.3888,0.3888,0.3888
70000,-0.023743386325825542,0.029437130889190095,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806,0.3806
75000,-0.02174175198988191,0.027149224520793987,0.3778,0.3778,0.3778,0.3778,0.3778,0.3778,0.3778
80000,-0.020729138954646058,0.02514168916753045,0.3844,0.38439999999999996,0.3844,0.3844,0.3844,0.3844,0.3844
85000,-0.019341097947742258,0.02348508179919528,0.3848,0.3848,0.3848,0.3848,0.3848,0.3848,0.3848
