Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
5000,-3.3581837270657218,35.11812535921732,0.7896,87.0974,17.24324,17.715220000000002,17.43348,17.3028,17.40266
10000,-3.2638773740768436,33.97966423034668,0.7634,86.36493999999999,17.11832,17.57272,17.285439999999998,17.10332,17.28514
15000,-3.176502440834045,33.575720405578615,0.7626,86.037,17.03828,17.526060000000005,17.2512,17.018860000000004,17.2026
20000,-3.178716120123864,34.09126164913177,0.779,86.9667,17.24132,17.6938,17.44026,17.234779999999997,17.356540000000003
25000,-3.1683646831512453,34.280804763793945,0.7846,87.40704,17.31844,17.79754,17.50674,17.331220000000002,17.4531
30000,-3.145603493650754,34.6954719543457,0.8008,88.32828,17.504660000000005,17.97494,17.72158,17.523220000000002,17.60388
35000,-3.0553532195091244,34.354620560010275,0.805,88.62592,17.565560000000005,18.0486,17.779139999999998,17.5701,17.66252
40000,-2.913587614099184,33.94566595554352,0.81,88.95028,17.60254,18.073660000000004,17.84092,17.688480000000002,17.744680000000002
45000,-2.773352766831716,33.7232647895813,0.8172,89.52596,17.742720000000002,18.187820000000002,17.96196,17.79836,17.8351
50000,-2.574517518877983,32.92737935384114,0.819,89.49412,17.75288,18.1922,17.93556,17.77966,17.833820000000003
55000,-2.5009250809748966,32.951971348126726,0.8272,89.83636,17.825760000000002,18.25706,18.0092,17.829720000000002,17.914620000000003
60000,-2.4025454371908435,32.10087503350298,0.8184,89.40664,17.730860000000003,18.17044,17.91034,17.76292,17.83208
65000,-2.3567722376187645,31.531222430864972,0.823,89.67874,17.8147,18.21112,17.98082,17.790800000000004,17.8813
70000,-2.276592636704445,30.740552043914793,0.8216,89.55893999999999,17.78862,18.21978,17.943360000000002,17.76698,17.8402
75000,-2.2482853939135867,30.428887526194256,0.8358,90.46498000000001,17.993860000000005,18.377540000000003,18.14066,17.932779999999998,18.02014
80000,-2.149664809107781,29.146729199091595,0.8236,89.59558,17.803860000000004,18.2083,17.97002,17.7826,17.830800000000004
85000,-2.016226695775986,27.546858215332033,0.8124,89.17412,17.71942,18.11872,17.87704,17.687440000000002,17.7715
90000,-1.7989024714628856,24.863604688644404,0.7622,85.89876,17.09334,17.48292,17.15462,17.053680000000004,17.1142
95000,-1.754261309146881,24.23604724121094,0.7712,86.28346,17.188260000000003,17.456860000000002,17.28968,17.093020000000003,17.255640000000003
100000,-1.7179655093948047,23.620104908943176,0.785,87.41308000000001,17.42954,17.667920000000002,17.482940000000003,17.310740000000003,17.52194
