Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.11227668210864068,0.3808027505874634,0.394
2000,-0.10335529384513696,0.377053161462148,0.372
3000,-0.10819580778479576,0.40237249732017516,0.416
4000,-0.11002218748132388,0.40772799650828045,0.422
5000,-0.11036923684179782,0.3914066970348358,0.396
6000,-0.11384327138463655,0.40785664319992065,0.437
7000,-0.11632714718580246,0.39455163180828096,0.422
8000,-0.11205229808886846,0.38623317579428357,0.396
9000,-0.10631192073225974,0.3878400087356567,0.4
10000,-0.10912607274949553,0.38760974258184433,0.418
11000,-0.11149720549583435,0.3950497001409531,0.411
12000,-0.10693662539124489,0.38502881427605945,0.421
