Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward
1000,-0.4551083795726299,6.493787348270416,0.795,10.358
2000,-0.4620602750778199,6.323391389846802,0.786,10.373
3000,-0.48305555224418645,6.3619037628173825,0.799,10.278
4000,-0.4615199160575867,6.39332275390625,0.811,10.421
5000,-0.4785487568378448,6.277405166625977,0.8,10.338
6000,-0.4661066871881485,6.2972554683685305,0.797,10.338
7000,-0.4466790288686752,6.278155517578125,0.793,10.279
8000,-0.45376197397708895,6.229051876068115,0.794,10.412
9000,-0.48430792391300204,6.317714631557465,0.807,10.397
10000,-0.4753266775608063,6.282466745376587,0.807,10.344
11000,-0.450585076212883,6.306609010696411,0.788,10.386
12000,-0.48955758750438694,6.188113260269165,0.841,10.363
13000,-0.4532613784074783,6.2348692417144775,0.791,10.323
14000,-0.46089079856872556,6.186541748046875,0.814,10.363
15000,-0.46867241144180294,6.102761268615723,0.786,10.348
16000,-0.4580491550266743,6.191090822219849,0.827,10.345
17000,-0.450213937163353,6.097038888931275,0.815,10.396
18000,-0.4640598303079605,6.238367509841919,0.819,10.348
19000,-0.45853798568248755,6.114992952346801,0.829,10.371
20000,-0.44590892434120183,6.107223224639893,0.82,10.354
21000,-0.4365437872707844,5.997913718223572,0.824,10.422
22000,-0.4547482436895371,5.953606176376343,0.82,10.375
23000,-0.4739877474308014,5.861010885238647,0.837,10.405
24000,-0.443444077372551,5.7940075397491455,0.829,10.358
25000,-0.43117021322250365,5.632548093795776,0.814,10.391
26000,-0.4635306023061275,5.6922647356987,0.83,10.466
27000,-0.43939797639846806,5.668986558914185,0.828,10.401
28000,-0.42178489804267877,5.590561628341675,0.832,10.468
29000,-0.41375764191150666,5.4734758853912355,0.82,10.392
30000,-0.4335510827600956,5.260000228881836,0.826,10.254
31000,-0.4158116281032562,5.272483968734742,0.829,10.36
32000,-0.411955526471138,5.149423122406006,0.834,10.469
33000,-0.3806137335300446,5.13115963935852,0.833,10.437
34000,-0.40800355225801466,4.907417118549347,0.823,10.402
35000,-0.3984286424517632,4.871362209320068,0.841,10.385
36000,-0.37516123175621036,4.789893102645874,0.828,10.528
37000,-0.381094953417778,4.565103483200073,0.834,10.368
38000,-0.3630209356546402,4.46381151676178,0.83,10.443
39000,-0.35265153229236607,4.50011043548584,0.847,10.428
40000,-0.3430223205685615,4.3856226921081545,0.838,10.472
