Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
1000,-0.3799660409688949,1.925362467765808,0.755,20.6985,3.965,4.3965,4.185,4.023,4.129
2000,0.36092832609266046,1.2046747851371766,0.762,20.8015,4.0255,4.396,4.199,4.0245,4.1565
3000,1.9025506801605225,0.6507032078504563,0.733,20.344,3.91,4.351,4.0565,3.9125,4.114
4000,1.6601234195232393,0.5200639659166336,0.711,20.013,3.8485,4.2715,3.993,3.8745,4.0255
5000,1.6990524227619173,0.5406267982721329,0.732,20.197,3.9665,4.307,4.036,3.896,3.9915
6000,1.8306631371974944,0.5611149168014526,0.737,20.273,3.9235,4.342,4.0635,3.922,4.022
7000,1.5116830446720122,0.5256524831056595,0.74,20.476,3.954,4.325,4.106,4.007,4.084
8000,1.480580997467041,0.5225768965482712,0.715,20.095,3.871,4.335,4.059,3.8655,3.9645
9000,1.634105042934418,0.529741132259369,0.733,20.407,3.929,4.351,4.11,3.9295,4.0875
10000,1.594130027294159,0.49701331675052646,0.769,20.9045,4.005,4.4215,4.1925,4.0865,4.199
11000,1.4901685957908632,0.5137106561660766,0.728,20.364,3.9485,4.358,4.0815,3.9485,4.0275
12000,1.7254693014621734,0.5460631877183915,0.746,20.505,3.961,4.4035,4.088,3.966,4.0865
13000,1.5123949387073519,0.5228455132246017,0.746,20.486,3.9525,4.372,4.1025,3.95,4.109
14000,1.4257044134140016,0.5021696811914443,0.739,20.436,3.9115,4.4165,4.049,3.989,4.07
15000,1.5624888737201692,0.5128723305463792,0.722,20.2335,3.8935,4.3315,4.079,3.931,3.9985
16000,1.580308393239975,0.48576386749744416,0.725,20.255,3.971,4.314,4.0735,3.905,3.9915
17000,1.4049497764110566,0.48987303614616395,0.731,20.377,3.951,4.338,4.049,3.96,4.079
18000,1.7231835651397702,0.5090781998634337,0.754,20.564,3.984,4.3735,4.15,3.989,4.0675
19000,1.5139495677947998,0.49569022238254556,0.768,20.793,4.0395,4.424,4.166,4.072,4.0915
20000,1.689060557603836,0.4911134487390519,0.735,20.3765,3.9355,4.337,4.094,3.98,4.03
21000,1.751115968465805,0.495934042930603,0.758,20.679,3.9795,4.46,4.1875,3.977,4.075
22000,1.4299480142593386,0.4679400235414505,0.733,20.3515,3.9125,4.4055,4.0655,3.897,4.071
23000,1.3850356938441593,0.4658825457096099,0.727,20.24,3.915,4.322,4.0905,3.929,3.9835
24000,1.7315087354183194,0.48037901997566224,0.735,20.2845,3.962,4.371,4.066,3.9265,3.959
