Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
1000,-0.6082882276177407,2.2806866705417637,0.766,20.799,4.0495,4.441,4.152,4.024,4.1325
2000,-0.5764965708255768,2.1811491370201113,0.741,20.442,3.9205,4.403,4.061,3.971,4.0865
3000,-0.6116664692759515,2.293727433681488,0.741,20.2905,3.9135,4.3515,4.1335,3.899,3.993
4000,-0.5864158374667168,2.240133080482483,0.745,20.615,3.9705,4.4035,4.1245,4.0085,4.108
5000,-0.5705548648238181,2.235705416202545,0.775,21.009,4.039,4.4665,4.199,4.1045,4.2
6000,-0.5862243356704713,2.174103407859802,0.727,20.227,3.8835,4.3505,4.0815,3.9265,3.985
7000,-0.5397777503728867,2.1471123337745666,0.748,20.6365,4.0465,4.391,4.129,3.98,4.09
8000,-0.5990895158648492,2.2999495530128478,0.752,20.807,4.02,4.466,4.1485,4.027,4.1455
9000,-0.5459036529064178,2.1264516782760623,0.745,20.5985,3.9845,4.372,4.128,3.9655,4.1485
10000,-0.578559130847454,2.359896249771118,0.757,20.8225,4.011,4.389,4.198,4.079,4.1455
11000,-0.4977067990750075,2.1489596223831176,0.742,20.3785,3.9775,4.3785,4.083,3.941,3.9985
12000,-0.6084669928550721,2.2889358043670653,0.754,20.5775,3.9745,4.3805,4.1095,4.0145,4.0985
13000,-0.5387531098127365,2.1626158690452577,0.754,20.546,3.952,4.4355,4.116,3.948,4.0945
14000,-0.5461958747506142,2.1389700460433962,0.747,20.4845,3.999,4.3805,4.121,3.9575,4.0265
15000,-0.4563001154065132,2.1050076699256897,0.715,20.0325,3.8285,4.3385,3.9865,3.849,4.03
16000,-0.485158676892519,2.1459220552444456,0.764,20.7755,4.022,4.421,4.181,4.007,4.1445
17000,-0.4317086479514837,2.040206964015961,0.759,20.7035,4.026,4.4515,4.131,3.939,4.156
18000,-0.5197863799333572,2.15054345369339,0.771,20.815,4.051,4.451,4.197,3.9925,4.1235
19000,-0.4680661864876747,2.1736916470527654,0.74,20.3875,3.95,4.3575,4.0625,3.959,4.0585
