Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
1000,-0.16736559832468628,0.8555767297744752,0.776,11.1645,2.168,2.348,2.255,2.2045,2.189
2000,-0.21825296537950636,0.8540228774150213,0.765,11.1205,2.124,2.3585,2.243,2.1935,2.2015
3000,-0.20198408843949436,0.8476872593164444,0.778,11.2,2.1255,2.3805,2.281,2.209,2.204
4000,-0.1901905953362584,0.8483025085926055,0.769,11.166,2.136,2.3455,2.237,2.191,2.2565
5000,-0.1657777279391885,0.826696594953537,0.754,10.9815,2.108,2.3055,2.212,2.159,2.197
6000,-0.13318745496411186,0.8278522600730259,0.755,11.1325,2.1665,2.3555,2.2605,2.1705,2.1795
7000,-0.1635915678292513,0.8428006637096406,0.762,11.1365,2.1705,2.346,2.2265,2.199,2.1945
8000,-0.15326963344216346,0.8050820243358612,0.743,10.972,2.132,2.3365,2.1625,2.169,2.172
9000,-0.13740014006895945,0.8425348854064941,0.765,11.193,2.1735,2.3615,2.235,2.2185,2.2045
10000,-0.12487491265684365,0.8246888434886932,0.755,11.163,2.1635,2.3825,2.2515,2.1745,2.191
11000,-0.07834003781434148,0.8095425975322723,0.752,11.0975,2.175,2.3405,2.181,2.2335,2.1675
12000,-0.0791108769774437,0.8121713078022003,0.782,11.221,2.1605,2.3395,2.3055,2.211,2.2045
13000,-0.03253456285595894,0.8326003849506378,0.75,11.1035,2.183,2.341,2.218,2.155,2.2065
14000,-0.07558143081143498,0.8181493353843688,0.773,11.23,2.1645,2.3525,2.2435,2.2395,2.23
15000,-0.025234460588544606,0.7803324508666992,0.759,11.148,2.1045,2.352,2.2405,2.24,2.211
16000,0.003940957408398389,0.7853702449798583,0.77,11.131,2.159,2.327,2.237,2.1915,2.2165
17000,0.022363295942544933,0.7799216151237488,0.757,11.078,2.1395,2.319,2.2395,2.167,2.213
18000,0.03197024266544031,0.7643030488491058,0.769,11.045,2.174,2.316,2.202,2.169,2.184
19000,0.09510162816755474,0.7810646307468414,0.759,11.1675,2.1525,2.3395,2.246,2.177,2.2525
20000,0.17792517286911608,0.7616274964809419,0.751,11.0765,2.1475,2.335,2.232,2.181,2.181
21000,0.1686373441745527,0.75331986784935,0.744,11.0555,2.117,2.3545,2.2305,2.1575,2.196
22000,0.2058840187415481,0.7643641912937165,0.75,11.068,2.1335,2.3135,2.2255,2.192,2.2035
23000,0.2448466486260295,0.7259749925136567,0.736,11.0305,2.079,2.3215,2.2355,2.164,2.2305
24000,0.22605765184015034,0.7477405989170075,0.745,10.972,2.142,2.323,2.189,2.117,2.201
25000,0.2658701885342598,0.7431971538066863,0.744,11.0785,2.131,2.347,2.2575,2.1435,2.1995
26000,0.3335326243638992,0.733221093416214,0.756,11.0435,2.154,2.3475,2.2415,2.145,2.1555
27000,0.30239031672477723,0.720158861875534,0.737,11.0635,2.117,2.319,2.234,2.1775,2.216
28000,0.34308529372513297,0.7409232532978058,0.77,11.171,2.1805,2.341,2.2535,2.2035,2.1925
29000,0.4297803707122803,0.7064431929588318,0.751,10.9515,2.1195,2.324,2.1665,2.1615,2.18
30000,0.4696613628864288,0.7114085483551025,0.743,11.08,2.135,2.3295,2.2125,2.164,2.239
31000,0.5024492658376694,0.7211492872238159,0.763,11.182,2.179,2.356,2.2275,2.2135,2.206
32000,0.4920080890953541,0.7130132019519806,0.743,10.9905,2.115,2.2975,2.1995,2.1995,2.179
33000,0.5328026562035084,0.7109806799888612,0.766,11.1435,2.1635,2.3195,2.2665,2.1705,2.2235
34000,0.557147410094738,0.7030916225910187,0.732,10.9455,2.109,2.2845,2.2225,2.1385,2.191
35000,0.5618218048810959,0.7042677867412568,0.745,11.017,2.1375,2.311,2.239,2.167,2.1625
36000,0.5771564370989799,0.7013191604614257,0.752,11.114,2.177,2.361,2.212,2.1995,2.1645
37000,0.6178745757341385,0.7070167410373688,0.749,11.039,2.1635,2.347,2.2445,2.14,2.144
38000,0.6077144302725792,0.6919706785678864,0.741,11.073,2.153,2.348,2.2265,2.154,2.1915
39000,0.5883305979967117,0.7032763731479644,0.778,11.192,2.144,2.35,2.253,2.223,2.222
40000,0.6184688268899918,0.7019617307186127,0.722,11.02,2.12,2.3265,2.2275,2.1925,2.1535
41000,0.6368778994083405,0.6815794277191161,0.742,11.021,2.1235,2.3285,2.1865,2.19,2.1925
42000,0.6159548221826553,0.6852437698841095,0.723,11.036,2.124,2.297,2.263,2.166,2.186
43000,0.7259580302238465,0.6673854196071625,0.758,11.159,2.158,2.342,2.2665,2.1945,2.198
44000,0.7109355115890502,0.6881309568881988,0.75,11.081,2.1495,2.312,2.249,2.161,2.2095
45000,0.7029722712039947,0.6792821514606476,0.743,11.0355,2.1185,2.311,2.2415,2.174,2.1905
46000,0.6859940987825395,0.6651058793067932,0.746,11.002,2.1345,2.2975,2.199,2.194,2.177
47000,0.7684214780926705,0.6922513043880463,0.737,11.0425,2.1395,2.308,2.193,2.188,2.214
48000,0.7162608126401901,0.6684346330165862,0.741,10.962,2.142,2.2865,2.194,2.161,2.1785
49000,0.7402973203659057,0.6833339822292327,0.746,10.968,2.141,2.309,2.212,2.1425,2.1635
50000,0.7186194437742233,0.6910930705070495,0.743,11.17,2.1585,2.3505,2.2265,2.235,2.1995
51000,0.7970014005899428,0.6852988684177399,0.75,11.0965,2.1535,2.312,2.2275,2.1975,2.206
52000,0.7938186120986938,0.670179191827774,0.766,11.086,2.1795,2.306,2.2565,2.168,2.176
53000,0.7315593369007111,0.6659442448616029,0.738,11.0525,2.155,2.3495,2.217,2.167,2.164
54000,0.7131609494686127,0.670893007516861,0.758,11.2065,2.15,2.3615,2.2595,2.204,2.2315
