Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.2066,0.4729,0.7540
2000,-0.0437,0.0872,0.7740
3000,0.0289,0.0381,0.7550
4000,0.0326,0.0396,0.7220
5000,0.0326,0.0383,0.7470
6000,0.0291,0.0396,0.7360
7000,0.0287,0.0396,0.7330
8000,0.0282,0.0402,0.7670
9000,0.0211,0.0384,0.7260
10000,0.0277,0.0398,0.7690
11000,0.0282,0.0380,0.7420
12000,0.0145,0.0374,0.7330
13000,0.0218,0.0379,0.7340
14000,0.0208,0.0369,0.7230
15000,0.0200,0.0363,0.7170
16000,0.0157,0.0380,0.7580
17000,0.0158,0.0374,0.7230
18000,0.0105,0.0388,0.7280
19000,0.0286,0.0398,0.7210
20000,0.0067,0.0383,0.7600
21000,0.0259,0.0386,0.7420
22000,0.0161,0.0363,0.7310
23000,0.0186,0.0382,0.7480
24000,0.0228,0.0382,0.7490
25000,0.0255,0.0361,0.7450
26000,0.0180,0.0346,0.7460
27000,0.0116,0.0355,0.7300
28000,0.1365,0.0388,0.7470
29000,0.0197,0.0373,0.7450
30000,0.0183,0.0344,0.7300
31000,0.0170,0.0334,0.7650
32000,0.0259,0.0369,0.7550
33000,0.0043,0.0331,0.7640
34000,0.0260,0.0355,0.7390
35000,0.0096,0.0343,0.7750
36000,0.0216,0.0347,0.7280
37000,0.0117,0.0338,0.7470
38000,0.0180,0.0338,0.7500
39000,0.0178,0.0335,0.7290
40000,0.0151,0.0338,0.7180
