Episode,Actor_Loss,Critic_Loss,Win_Rate
500,-0.3142889094623652,0.9953153702345762,0.91
1000,-0.31850776855241164,1.0122504410418598,0.942
1500,-0.3044332861900329,1.026593429121104,0.938
2000,-0.30608477707613596,0.960664452476935,0.912
2500,-0.33084903197444004,1.0180510917435521,0.94
3000,-0.33390085385604334,1.0304808548905633,0.948
3500,-0.31929342313246295,1.0140839097174732,0.926
4000,-0.32708035788752815,1.012465769594366,0.944
4500,-0.3219056918539785,1.005905109373006,0.938
5000,-0.34385561008344995,1.0369832122867757,0.952
5500,-0.3116650698537176,1.0048587186770006,0.938
6000,-0.3150790623643181,0.988358664241704,0.92
6500,-0.31646131927316834,0.9911071184006605,0.932
7000,-0.32145047431642365,1.033365481279113,0.96
7500,-0.304116173020818,0.9647843851284548,0.91
8000,-0.3211522901187772,1.0113422041353972,0.956
8500,-0.3274153167551214,1.0156948607076297,0.942
9000,-0.30346314663236795,0.9818113229491494,0.926
9500,-0.30693080269477585,0.9963007704778151,0.95
10000,-0.3274040402336554,1.0398927425796336,0.946
