Episode,Actor_Loss,Critic_Loss,Win_Rate
1000,-0.24628442488610744,0.7591395676136017,0.794
2000,-0.24403405398130412,0.7673829972743988,0.79
3000,-0.2402209189534187,0.7584792137145996,0.781
4000,-0.24321375221014024,0.7690728366374969,0.805
5000,-0.24146663963794707,0.7641257047653198,0.806
6000,-0.24118977218866347,0.7514007449150085,0.781
7000,-0.2405997431278229,0.7460897386074066,0.787
8000,-0.2410492593050003,0.761027729511261,0.793
9000,-0.23518833100795744,0.7498661994934082,0.798
10000,-0.2513910400867462,0.7879354953765869,0.83
11000,-0.2368147112429142,0.7599189579486847,0.803
12000,-0.24721252858638768,0.768301248550415,0.824
13000,-0.24262386947870254,0.7671120166778564,0.828
14000,-0.2365788534283638,0.7557488083839417,0.802
15000,-0.23010934770107266,0.7348797738552093,0.799
16000,-0.24325749099254607,0.7476651430130005,0.816
17000,-0.23900110483169557,0.7379763662815094,0.803
18000,-0.22113457798957822,0.7366621494293213,0.811
19000,-0.2444490570574999,0.741981104016304,0.82
20000,-0.2534027653932571,0.7354921102523804,0.826
21000,-0.23084477633237838,0.7357030630111694,0.822
22000,-0.2436602771282196,0.7225042283535004,0.84
23000,-0.22605578690767286,0.7057191669940949,0.813
24000,-0.22929718524217604,0.6804583549499512,0.816
25000,-0.22993552461266517,0.697762981057167,0.834
26000,-0.21940720766782765,0.6579964220523834,0.818
27000,-0.22685431748628612,0.6730178475379944,0.835
28000,-0.21726282715797426,0.6689196527004242,0.838
29000,-0.21761335313320157,0.64916433095932,0.839
30000,-0.18285033963620662,0.611610934138298,0.82
31000,-0.19805411592125893,0.6242728054523468,0.829
32000,-0.1762618987262249,0.6034588992595673,0.826
33000,-0.17892075210809708,0.6031526505947113,0.834
34000,-0.16891112953424453,0.5931435704231263,0.826
35000,-0.16397636160254478,0.5805579721927643,0.817
36000,-0.1748198364675045,0.5819399118423462,0.828
37000,-0.16066102653741837,0.5668311297893525,0.817
38000,-0.16091306418180465,0.5893959105014801,0.865
39000,-0.17131567262113095,0.5675541684031487,0.852
40000,-0.16024451732635497,0.5816738486289978,0.861
